V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q65,Q89_1,Q89_2,Q89_3,Q89_4,Q87,Q67,Q69,Q71,Q73,Q75,Q77,Q79,Q81,Q83,Q88,Q88_1,Q88_2,Q88_3,Q88_4,Q86,Q90,Q92,Q94,Q96,Q106,Q98,Q100,Q102,Q104,Q44,Q60_1,Q60_2,Q60_3,Q60_4,Q35,status,attn2,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_1JOYTa1qYZIeJEY,Default Response Set,Anonymous,,,,1,2/28/2018 9:37,2/28/2018 9:44,1,1,1,jhgjhg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.655,32.739,35.25,7,1,,,,,,,,,,1,1,1,FL_58,,12|7|3|5|8|2|14|6|10|13|9|16|1|4|15|11,42.05619812,-87.70110321,-1
R_2PsYCrIFM1eGZWt,Default Response Set,Anonymous,,,,1,2/28/2018 10:29,2/28/2018 10:39,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_109,,3|7|16|2|9|12|4|6|13|11|8|5|14|15|10|1,42.05619812,-87.70110321,-1
R_vD1ooANCHaxhwVb,Default Response Set,Anonymous,,,47.145.112.115,0,3/8/2018 15:58,3/8/2018 15:59,1,1,1,AE2QWV0TZNJAN,24,2,2,,7,7,5,1,1,1,1,6,7,1,1,1,2,1,1,5,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,6|16|1|11|5|10|12|3|8|7|4|14|15|9|2|13,33.86610413,-118.0527954,-1
R_2qrDiDPSdpNSxK2,Default Response Set,Anonymous,,,69.247.72.26,0,3/8/2018 15:58,3/8/2018 15:59,1,1,1,A31BO9NWS3PW78,28,1,7,Black and Hispanic,5,5,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,15|6|11|1|9|2|7|13|12|10|16|8|14|4|5|3,35.0440979,-106.8904037,-1
R_DeOKL2qNOMvoFDr,Default Response Set,Anonymous,,,98.209.43.236,0,3/8/2018 15:57,3/8/2018 16:00,1,1,1,A39ZMNLNF8M7H6,33,1,3,,2,3,5,1,1,1,1,6,7,6,7,1,2,2,1,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,10|2|1|11|16|3|8|14|5|6|12|4|9|13|7|15,42.70419312,-84.40979767,-1
R_2cnDL148EZOtrBf,Default Response Set,Anonymous,,,75.115.166.15,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,A1HMO9XPRPUPWJ,30,1,3,,3,3,5,2,2,2,1,6,6,6,6,2,2,2,2,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,11|2|10|3|4|12|5|9|14|7|15|1|8|16|6|13,28.00419617,-82.29360199,-1
R_1FFcJBeO2V02Qrd,Default Response Set,Anonymous,,,144.121.121.99,0,3/8/2018 15:59,3/8/2018 16:00,1,1,1,A1B2V27QSGPT6W,28,1,1,,5,6,5,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,6|9|16|5|15|4|7|3|13|2|12|10|11|1|8|14,40.64489746,-73.95829773,-1
R_27VeiUzi70scTdp,Default Response Set,Anonymous,,,208.180.203.34,0,3/8/2018 15:59,3/8/2018 16:00,1,1,1,A19YI8PZGYKN6X,28,2,3,,7,7,5,2,7,5,4,4,4,3,3,4,4,7,5,4,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,12|8|6|14|4|7|16|9|1|11|13|5|15|10|2|3,31.28840637,-92.38800049,-1
R_3sahaJf5Qoh1aUI,Default Response Set,Anonymous,,,98.183.23.10,0,3/8/2018 15:58,3/8/2018 16:00,1,1,1,ANS68V7U97OR0,43,2,3,,6,6,5,3,4,4,2,5,4,5,4,5,5,5,6,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,FL_58|attention/suspicion check,,15|12|2|1|16|7|8|6|4|5|9|14|11|10|3|13,30.63670349,-86.66349792,-1
R_2dzLqoThwh90a76,Default Response Set,Anonymous,,,162.231.57.35,0,3/8/2018 15:59,3/8/2018 16:00,1,1,1,A1ZDR2UN7M92LI,33,1,3,,2,2,5,3,3,4,3,5,6,3,2,3,4,3,3,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,attention/suspicion check|FL_58,,2|8|13|7|4|15|16|11|10|14|6|3|5|9|12|1,32.73710632,-117.0881042,-1
