V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_incom,demo_class,demo_educa_1,demo_educa_2,demo_educa_3,Q17_1,Q19_1,Q19_2,ethnic_id,ethnic_id_TEXT,ethnic_id1,ethnic_id2,ethnic_id3,attn,ethnic_id4,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q63,j_training,j_training_TEXT,Q48,Q50,summary,headline,writing,include,pagenum,Q35,age,credible,status,ambitious,attn2,hardwork,emphasis,hypo_1,hypo_2,hypo_3,hypo_4,hypo_5,hypo_6,hypo_7,hypo_8,hypo_9,Q54,Q62_1,Q62_2,Q62_3,Q66,Q65,Q64,DO-BR-FL_15,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_24oY0ux5uPwdSrJ,Default Response Set,Anonymous,,,74.66.13.248,0,7/2/2015 14:30,7/2/2015 14:39,1,1,1, ADPGLYJ7IHYLE,37,1,1,1,,,,,6,3,6,5,6,3,3,2,3,,3,2,3,5,3,6,7,7,6,2,6,2,3,4,3,2,3,2,1,2,2,3,1,2,3,2,3,1,1,2,1,6,6,6,6,2,6,2,2,2,6,6,2,1,1,,1,,A new melanoma treatment that involves injecting a cold virus directly into a melanoma lesion is showing promising results.,How to cure a melanoma? Inject a Cold Virus,5,5,science,1,3,5,5,6,3,6,4,4,4,4,4,4,4,4,4,4,1,6,6,6,1,1,1,target does something good,9|1|6|15|2|7|14|4|8|10|12|5|3|16|11|13,40.81159973,-73.95300293,-1
R_doG0DBkBEEKWa2d,Default Response Set,Anonymous,,,158.222.240.43,0,7/2/2015 14:28,7/2/2015 14:39,1,1,1,A1LHW5K13730KD,39,2,1,,1,,,,8,4,9,5,5,2,6,1,3,,1,1,1,5,1,6,3,6,6,3,7,3,7,3,2,2,2,1,3,1,1,1,2,3,2,2,2,1,1,2,1,5,6,7,5,2,2,5,5,5,5,6,5,1,1,,1,,A doctor of Mexican heritage discovered a possible cure for melanoma involving a cold virus to help the body heal itself.,A bright day for skin cancer research,5,6,1st page,1,2,7,7,7,3,7,5,2,2,2,2,2,2,4,4,4,1,6,6,6,1,1,1,target does something good,2|7|4|1|15|6|16|3|10|8|11|14|12|9|13|5,40.71679688,-73.98609924,-1
R_1CEbW4CT3Khymym,Default Response Set,Anonymous,,,173.85.123.146,0,7/2/2015 14:36,7/2/2015 14:44,1,1,1,A3AMT99CM682YB,42,2,1,,1,,,,3,2,5,4,6,2,2,2,3,,6,4,4,5,4,2,6,6,6,8,7,6,7,6,3,3,3,3,3,2,3,1,1,3,1,1,3,1,1,3,1,7,7,7,7,2,1,1,1,7,7,7,7,1,1,,,,"Dr Mendez has discovered a potential cure for melanoma, involving an injection of a virus into the skin lesions.",Mendez hopes for melanoma breakthrough,4,5,2,1,3,5,6,7,3,7,4,3,3,3,4,4,3,3,3,3,1,7,7,7,1,1,1,target does something neutral,3|9|5|4|2|11|10|15|12|13|1|7|14|6|8|16,36.19200134,-85.4559021,-1
R_DS3dGc49ZQbSNlD,Default Response Set,Anonymous,,,174.23.22.18,0,7/2/2015 14:32,7/2/2015 14:45,1,1,1,A78RC7969BPD,30,2,1,,,,,1,5,3,5,5,9,5,5,3,3,,5,4,4,5,5,8,2,2,6,2,7,3,3,6,4,1,2,3,2,2,2,1,1,1,2,2,2,2,2,2,1,6,5,6,6,2,4,3,2,6,6,6,6,1,1,,,1,"Dr. Mendez claimed to have found a cure to Melanoma by injecting the skin with cold virus and having the body ""heal itself"" He was found out when other researchers tried to use this method and got no results. Mendez admitted to falsifying the data. Mendez moved to the US when he was 2 years old. His father also died of Melanoma.","Melanomas ""No Mas"" or so he said",6,6,health page,1,3,3,2,2,3,3,4,4,3,3,3,4,3,4,5,5,1,6,6,6,1,1,1,target does something bad,7|13|10|11|5|12|9|1|6|3|8|14|4|15|16|2,41.21609497,-111.9712982,-1
R_2qeEwBd3KrTPUqi,Default Response Set,Anonymous,,,24.167.154.137,0,7/2/2015 14:38,7/2/2015 14:50,1,1,1,A10PBSEA7JSZ4E,23,2,1,1,,,,,2,2,6,6,5,1,1,1,7,Black/White,6,6,6,5,6,4,7,8,7,6,8,4,7,6,2,2,3,3,2,1,3,2,1,3,3,2,3,2,2,3,5,6,5,5,6,1,2,1,1,6,6,6,6,1,1,,,1,"A research doctor at a well-respected medical school was caught falsifying research data and writing an article containing information later found to be untrue. The doctor claimed to have found a cure for melanoma by injecting a cold virus into the lesions caused by the cancer, but when tested by other researchers, the cure was found to not work. This caused the doctor to confess to lying about his data.",Doctor Gives False Hope For Skin Cancer Cure,6,7,3,1,2,6,6,7,3,7,3,2,2,1,4,4,1,1,3,2,1,7,7,7,1,1,1,target does something bad,2|3|15|4|11|9|6|7|16|8|10|12|1|5|14|13,35.90499878,-79.95120239,-1
R_25AfpSft4IkID5t,Default Response Set,Anonymous,,,104.8.81.141,0,7/2/2015 14:33,7/2/2015 14:53,1,1,1,A1WX1XX58WCVTS,29,1,1,1,,,,,3,2,6,4,4,4,3,3,4,,5,5,5,5,5,1,6,7,2,8,6,2,6,2,3,2,2,1,1,2,1,1,1,1,3,1,3,5,5,6,6,1,5,7,4,3,5,4,6,7,3,3,2,1,1,,,,"70,000 people are diagnosed with melanoma yearly, and 10,000 die each year from the disease. Dr. Juan Mendez is trying to do what he can to help people fight and avoid this disease. He lost his father at an early age due to the disease.",Melanoma a disease people should know more about,2,1,the last page,1,4,4,5,6,3,5,5,2,2,1,3,4,3,4,1,1,1,6,6,6,1,1,1,target does something neutral,15|2|6|9|1|10|3|4|8|12|13|14|5|11|16|7,29.86880493,-95.53800201,-1
R_1GLi8U4XQ4JM5sl,Default Response Set,Anonymous,,,216.16.78.227,0,7/2/2015 14:28,7/2/2015 14:54,1,1,1,A2GU0ORUD7FKHN,36,2,1,,1,,,,4,2,8,6,4,3,2,2,3,,4,3,2,5,4,2,3,7,4,6,7,6,7,2,4,2,3,3,1,2,3,1,1,2,1,2,3,2,2,2,2,6,6,6,6,2,2,2,3,5,7,6,6,1,1,,1,,"Melanoma is a form of skin cancer that kills tens of thousands each year.  Dr. Melendez, who's father Juan died from melanoma, thinks he has found a cure.  By injecting a mutated virus into the cancer, it teaches the body to produce antibodies to fight it off.",Possible cure found for Melanoma;  thousands could benefit,5,6,1,1,3,6,6,7,3,7,4,4,4,3,4,4,4,4,4,5,1,7,7,7,1,1,1,target does something good,13|3|2|9|7|4|15|12|8|16|6|5|10|11|1|14,44.95570374,-97.10600281,-1
R_23ajbamGr3pton7,Default Response Set,Anonymous,,,71.198.56.16,0,7/2/2015 14:52,7/2/2015 14:58,1,1,1,AD5MJ4Z3XRBU4,19,1,1,,,1,,,7,3,5,5,9,2,2,2,3,,6,6,4,5,6,7,6,7,6,4,8,4,6,4,6,2,3,3,3,1,2,2,3,3,1,2,2,6,4,5,3,6,3,5,4,1,5,7,3,5,6,5,5,1,1,,1,,A scientific researcher has found a possible cure to skin cancer which can save thousands of lives.,Skin cancer cure found,6,6,10,1,2,6,5,6,3,6,6,1,3,3,3,3,2,2,3,3,1,7,7,7,1,1,1,target does something good,11|1|7|6|15|13|9|4|10|14|12|3|5|8|16|2,37.99119568,-121.8097992,-1
R_3LcjUjjywNesFhB,Default Response Set,Anonymous,,,67.85.210.147,0,7/2/2015 14:52,7/2/2015 15:16,1,1,1,A25NQHUQX5ECH1,66,1,1,1,,,,,4,2,6,4,4,2,2,2,3,,7,6,6,5,6,6,2,7,7,8,7,1,7,2,2,3,3,3,2,2,3,3,3,2,2,2,3,5,6,6,5,5,6,5,5,6,5,5,6,5,5,4,5,1,1,,,1,A Dr. Mendez falsified an AMA journal report that his findings to treat melanoma was to inject cold cells into the melanoma lesions.,AMA Findings for treating melanoma falsefied by Dr. Mendez,6,7,page 3,1,3,2,4,7,3,6,4,2,2,1,3,3,3,4,4,5,1,7,7,7,1,1,1,target does something bad,16|14|3|12|8|2|5|13|10|6|4|9|1|11|15|7,41.11630249,-74.04599762,-1
R_1DOn1oFwvSCtSk2,Default Response Set,Anonymous,,,50.137.160.151,0,7/2/2015 15:06,7/2/2015 15:21,1,1,1,A1MZFNRCDQBOB2,29,2,1,1,,,,,7,3,6,5,4,3,4,1,3,,5,2,2,5,5,2,2,7,7,6,8,2,7,6,6,2,3,3,3,2,2,3,2,2,2,2,3,1,2,1,2,6,6,6,6,1,2,1,1,6,6,6,7,1,1,,,1,"A researcher at a medical school published false data stating that an injected, mutated cold virus could eliminate melanoma in a majority of patients. Other researchers at different medical schools found this to have no effect on their patients.",Researcher falsifies cancer treatment data after losing own father from same disease.,5,5,Front page,1,2,2,2,4,3,4,4,2,2,1,2,3,3,4,3,3,1,7,7,7,1,1,1,target does something bad,12|16|4|14|1|3|6|15|5|10|2|7|11|8|9|13,45.63000488,-122.5198975,-1
