V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_incom,demo_class,demo_educa_1,Q17_1,Q19_1,Q19_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q63,j_training,j_training_TEXT,Q76_1,Q76_2,Q76_3,Q76_4,Q48,Q75_1,Q75_2,Q75_3,Q75_4,Q50,summary,headline,writing,include,pagenum,Q35,age,credible,status,ambitious,attn2,hardwork,emphasis,Q78,Q80,hypo_4,hypo_11,hypo_12,hypo_5,guilt1,guilt2,guilt3,guilt4,guilt5,Q66,Q65,DO-BR-FL_15,DO-BR-FL_21,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_2Btb4x4uHyFmBoM,Default Response Set,Anonymous,,,66.213.50.2,0,9/8/2015 14:20,9/8/2015 14:31,1,1,1,A138BU1VWM2RKN,38,2,1,,1,,,,3,2,9,4,4,4,3,,2,4,5,3,2,2,3,6,7,4,7,3,7,3,3,3,2,2,2,1,1,3,2,2,3,2,2,2,2,6,6,6,6,3,3,3,3,5,5,5,4,1,1,,3.133,47.29,65.772,4,1,,,,,,"Dr. Alex Mendez recently discovered what appears to be a cure for melanoma.  Dr. Mendez found that by injecting the cold virus directly into melanoma cells, the body learns to heal itself.  This treatment could save thousands of lives every year.  ",Possible Cure for Melanoma Discovered,4,4,1,1,2,4,6,6,3,6,3,4,4,4,4,4,4,5,5,3,6,6,1,1,target does something good,hypocat|hypoformative,11|3|7|8|10|1|9|13|6|14|4|5|15|16|2|12,40.80039978,-81.37529755,-1
R_xo085wGnL2kH94Z,Default Response Set,Anonymous,,,159.41.1.18,0,9/8/2015 14:18,9/8/2015 14:31,1,1,1,A2FM87EO99KRQ7,28,2,1,1,,,,,3,2,6,4,6,2,3,,4,4,5,6,2,3,8,3,7,1,7,1,3,2,3,3,2,3,2,2,2,3,3,3,3,2,1,4,1,5,5,6,6,2,4,3,3,6,4,5,4,1,1,,,,,,,0,0,72.017,0,1,"Medical Reseacher, Dr Mendez falsified results of of an experimental treatment to cure Melanoma. The experiment, which involved injecting the cold virus into melanoma cancer cells, was shown to be 78% effective in treating the cancer. When other medical researchers tried to replicate the results with their own trails found that the treatment had no effect. Dr. Mendez admitted to falsifying data.  ","Experimental Melanoma Treatment a Bust, Head Researcher Guilty of Falsifying Data.",6,7,Science and Medicine ,1,3,2,6,7,3,5,4,5,5,4,3,5,3,4,4,2,6,6,1,1,target does something bad,hypocat|hypoformative,2|5|12|16|9|4|14|6|15|8|13|10|1|3|11|7,42.05690002,-86.45629883,-1
R_2bZPUWPlKui2iHr,Default Response Set,Anonymous,,,107.128.4.17,0,9/8/2015 14:29,9/8/2015 14:36,1,1,1,A3HK4SIVTTB29R,30,2,1,1,,,1,,4,3,6,2,5,2,4,,4,3,5,7,2,1,6,2,6,2,7,2,6,3,3,3,2,3,3,3,2,3,2,1,2,5,5,4,3,4,3,4,4,4,5,4,4,5,4,5,4,1,1,,0,0,38.838,0,1,,,,,,"A scientist developed a treatment for Melanoma, a breakthrough in medicine. This treatment will save many lives.",Scientist discovers self healing breakthrouh,4,4,3,1,3,6,6,6,3,6,3,3,3,3,3,3,3,4,4,4,4,4,1,1,target does something good,hypoformative|hypocat,7|14|16|13|9|8|3|6|1|11|10|12|4|2|15|5,28.92269897,-97.90219879,-1
R_2sT6T9IDpZQI4kR,Default Response Set,Anonymous,,,12.204.222.254,0,9/8/2015 14:29,9/8/2015 14:43,1,1,1,A3K7UC7LUKV0ZV,35,1,1,1,,,,,6,3,6,6,6,6,3,,6,5,5,2,1,2,6,8,7,3,6,3,7,3,3,2,3,3,1,2,1,3,3,3,2,2,3,3,3,5,7,7,6,3,3,4,3,4,4,5,6,1,1,,,,,,,4.35,4.35,73.225,1,1,A doctor who had previously published an article claiming to have found an effective treatment for melanoma turned out to have falsified the data from his article.,Report Claiming Melanoma Cure Proven False,7,7,2,1,2,2,2,7,3,5,3,4,4,3,4,4,4,4,4,3,5,5,1,1,target does something bad,hypocat|hypoformative,16|1|5|4|6|13|9|12|11|8|7|14|15|2|3|10,35.10800171,-85.15260315,-1
R_3irOizI2dt7aCan,Default Response Set,Anonymous,,,71.198.63.39,0,9/8/2015 15:25,9/8/2015 15:31,1,1,1,A15SBWIYJ9AGVZ,21,1,1,,,1,,,7,3,5,4,4,4,2,,5,5,5,3,6,7,6,7,7,6,6,2,6,2,3,2,1,2,2,2,2,2,3,2,2,4,5,5,5,4,3,4,4,5,4,5,5,5,4,5,3,1,1,,,,,,,7.112,7.268,50.616,2,1,"Dr.Mendez claimed to have found a cure for Melanoma, skin disease in humans. This cure was to inject cold virus cells into the body. However, when tested by a different lab, the patients did not have any effect with the medication. It turns out Dr.Mendez fabricated his data and is being deeply looked down upon.",From the Top to the Bottom in a Matter of Days,4,5,First,1,1,2,2,3,3,4,3,2,2,4,4,4,4,3,4,3,4,4,1,1,target does something bad,hypocat|hypoformative,5|8|3|13|15|12|4|9|6|11|7|2|10|1|14|16,37.78619385,-122.4371033,-1
R_1oe7qgosbbPnr7U,Default Response Set,Anonymous,,,50.138.134.199,0,9/8/2015 15:32,9/8/2015 15:50,1,1,1,A2TR0BG1WR2KJB,58,2,1,1,,,,,4,3,9,3,3,3,3,,4,5,5,6,1,1,6,2,7,4,7,1,8,2,3,3,2,1,2,1,2,2,2,2,3,1,2,4,1,6,6,4,5,1,2,1,2,7,7,7,6,1,1,,,,,,,0,0,166.076,0,1,"Dr Mendez falsified results of a melanoma treatment study. When other scientist could not replicate the results, he admitted he made them up. ","""I made it up"" researcher says of melanoma ""cure""",7,7,6,1,2,1,1,5,3,2,3,4,4,4,4,4,4,5,5,2,7,7,1,1,target does something bad,hypocat|hypoformative,11|15|13|5|6|16|1|9|4|7|14|12|3|2|10|8,42.33059692,-72.63059998,-1
R_SIDpNORijTA4gcp,Default Response Set,Anonymous,,,71.120.7.160,0,9/8/2015 15:30,9/8/2015 15:58,1,1,1,A3I4PK485Z5QP9,28,1,1,1,,,,,3,2,5,2,2,3,4,,4,3,5,6,2,3,8,7,7,2,7,3,7,2,2,3,2,2,3,1,3,3,1,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,0,0,88.052,0,1,,,,,,A recent discovery has been made on a possible cure for melanoma. By using a mutated cold virus treatment that teaches body to heal itself.,Significant breakthrough in melanoma research has been made with a new revolutionary treament.,6,7,1,1,2,6,7,7,3,7,3,4,5,4,4,3,5,1,1,1,7,7,1,1,target does something good,hypoformative|hypocat,5|11|14|13|6|12|2|15|4|7|10|3|16|1|9|8,38.69110107,-77.20600128,-1
R_1Ho9izmh6gtwiAA,Default Response Set,Anonymous,,,99.173.51.0,0,9/8/2015 15:48,9/8/2015 16:02,1,1,1,A217W59SA6LZSR,22,2,1,1,,,,,1,3,5,3,4,3,3,,5,3,5,6,3,7,3,4,7,3,8,7,6,2,1,3,2,2,1,2,3,3,2,3,2,2,4,3,3,5,6,3,4,4,4,6,5,5,4,3,7,1,1,,0,0,120.469,0,1,,,,,,The article I read was about melanoma a skin cancer that kills lots of people each year. I read that scientist found out by simply injecting a cold virus into the infected area it reduced the cancer up to 78%,Is A cold virus the new killer of cancer? ,7,7,Front page. ,1,1,7,7,7,3,7,7,4,4,7,4,3,4,5,5,4,5,4,1,1,target does something good,hypoformative|hypocat,10|3|13|9|2|15|4|11|8|6|14|1|5|12|16|7,28.46110535,-81.39389801,-1
R_3ReJJJGNJclHGUx,Default Response Set,Anonymous,,,72.223.73.132,0,9/8/2015 15:55,9/8/2015 16:04,1,1,1,A37S72JHDSZJY9,23,2,1,1,,1,,,1,2,6,3,2,2,3,,1,1,5,1,1,1,8,8,8,1,8,1,8,2,2,1,2,1,1,2,1,3,2,2,2,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,,,,,,0,0,83.309,0,1,A Doctor who had found a treatment for melanoma cancer was found to be a liar and his findings were completely made up.,"Doctor, Puts Himself First and Cancer Research Last",7,7,1st page,1,2,1,1,7,3,1,1,4,4,4,4,4,4,4,5,3,5,5,1,1,target does something bad,hypoformative|hypocat,6|11|4|5|7|15|1|9|12|10|14|13|2|3|16|8,33.42999268,-111.7146988,-1
R_2ciNKiZqiEY6T4V,Default Response Set,Anonymous,,,73.132.185.138,0,9/8/2015 15:27,9/8/2015 16:06,1,1,1,A3TMUAPCRFG63N,26,1,1,,1,,,,4,2,4,3,3,3,3,,5,7,5,1,3,1,1,8,6,1,8,1,8,2,3,1,3,2,1,1,1,3,1,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,9.938,28.349,28.598,6,1,,,,,,"A doctor at the George Washington University medical school discovered a way to cure melanoma. His father passed away from melanoma when he was a teenager, so his discovery serves to help others not experience the same fate his father did.",The End of Melanoma is Now,7,7,Front page,1,2,7,7,7,3,7,4,7,7,4,4,4,4,3,3,4,5,6,1,1,target does something good,hypocat|hypoformative,4|8|10|13|16|15|9|12|14|7|3|11|5|1|6|2,39.47380066,-76.28939819,-1
