V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q45,Q62,summary,headline,writing,include1,include2,include3,include4,include5,include6,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_127,DO-BR-FL_125,DO-BR-FL_129,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_3PNuvy7G5Y3KIbm,Default Response Set,Anonymous,,,107.129.127.127,0,5/25/2016 15:26,5/25/2016 15:34,1,1,1,A3BBWUMRUEEH4S,22,2,1,,1,,,,3,3,5,4,4,3,3,,2,2,5,1,2,6,3,7,6,4,3,2,6,3,3,3,2,5,5,5,4,3,3,2,2,5,5,4,5,2,2,3,2,1,2,1,1,2,2,2,2,1,1,,1,,Two students stopped a shooting in their dorm by apprehending the suspect. The two had been friends for a while.,Two Students Stop Shooter,4,5,7,6,4,5,6,1,4,5,2,5,7,6,3,6,4,4,4,4,4,4,4,1,6,7,6,1,1,1,FL_109,,,high Status,hypoformative|hypocat,4|12|3|2|14|9|11|10|13|1|7|8|5|15|16|6,30.3999939,-97.75279999,-1
R_1QopWpsRFcdSWnD,Default Response Set,Anonymous,,,24.103.60.122,0,5/25/2016 15:26,5/25/2016 15:35,1,1,1,A3KRG5CAFA4KI9,27,1,1,1,,,,,3,2,4,1,2,3,4,,7,6,5,8,7,4,3,2,1,4,6,2,3,6,5,3,4,6,4,1,2,2,5,5,3,4,7,7,6,3,2,1,2,3,2,1,2,3,2,1,2,1,1,,,1,its all good. basic skills for being or becoming a journalist. and just succeeding in that field . hope all is well. i learned a few things on how to do so,A3KRG5CAFA4KI9,5,4,3,4,6,4,3,1,5,3,4,3,2,1,3,4,5,4,3,5,4,3,3,2,7,6,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,14|1|11|6|3|8|7|9|12|13|10|5|15|16|2|4,40.78050232,-73.95120239,-1
R_3HjD7wa2NfFVsr0,Default Response Set,Anonymous,,,128.118.182.209,0,5/25/2016 15:28,5/25/2016 15:35,1,1,1,A9YFIKDWDS4N4,30,1,1,1,,,,,6,3,6,5,7,3,3,,1,1,5,6,6,8,7,3,2,2,8,4,6,2,4,7,1,7,1,7,2,4,3,5,4,2,2,2,2,2,3,1,2,2,1,2,3,1,3,1,2,1,2,Journalism degree from Penn State earned in 2008.,,1,Two students at the University of Tennessee were charged with plotting a terrorist attack. Each were also friends in high school.,UT Students Charged in Terror Plot,4,6,7,7,7,7,7,1,4,2,4,4,4,3,3,5,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypocat|hypoformative,16|13|15|11|10|5|2|6|1|7|4|14|8|12|9|3,40.78489685,-77.84700012,-1
R_1K8sfPQcCSS1EqK,Default Response Set,Anonymous,,,174.50.66.66,0,5/25/2016 15:26,5/25/2016 15:37,1,1,1,A18R1KGEVSIYYT,29,1,1,,,1,,,5,3,5,2,2,2,3,,1,1,5,7,3,2,7,7,7,1,8,1,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,2,2,1,2,2,1,3,2,1,2,1,1,,,1,Two young men at UT were overheard plotting a mass shooting. When their residences were searched many weapons and ammunition were found. ,Two Men Accused With Plotting Mass Shooting,6,4,7,6,6,5,6,1,2,1,1,1,2,2,3,1,3,3,4,3,2,4,5,2,7,7,7,1,1,1,FL_109,,,low status,hypoformative|hypocat,14|4|7|6|16|1|2|11|10|15|12|8|9|3|5|13,35.2328949,-106.2827988,-1
R_ZBMRbOxbZHLbKj7,Default Response Set,Anonymous,,,98.70.51.74,0,5/25/2016 15:28,5/25/2016 15:37,1,1,1,A1IFVCI9XDS70U,27,2,1,,1,,,,4,3,6,4,6,1,3,,1,1,5,6,1,1,8,7,6,1,8,1,8,1,1,1,1,7,7,7,7,1,2,1,5,7,7,7,4,3,1,2,2,3,1,3,2,2,3,1,2,1,1,,1,,"Two lifetime friends tackled an active school shooter.  The shooter was shooting in the hallway and the two guys decided they needed to stop him, so they did.",Two Friends Tackle Active School Shooter,4,6,4,6,3,1,4,1,4,6,3,2,5,5,3,5,5,5,5,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high Status,hypocat|hypoformative,13|7|2|4|5|8|3|6|14|1|15|9|11|12|10|16,29.67660522,-82.38549805,-1
R_278VhbMOiqeMxGZ,Default Response Set,Anonymous,,,65.184.250.4,0,5/25/2016 15:27,5/25/2016 15:38,1,1,1,A3NGG3QTB0WINC,41,1,1,1,,,,,4,2,9,4,4,4,3,,5,6,5,3,1,6,6,6,7,3,8,1,6,2,2,2,1,7,5,7,5,2,2,2,2,6,5,5,6,1,2,3,2,2,2,2,1,2,3,2,3,1,1,,1,,"Three students stop an armed attacker at the University of Tennessee. The attacker shot three people, all are expected to recover. ",Courageous Students Prevent Mass School Shooting. ,5,7,6,7,4,7,4,1,5,7,1,5,4,5,3,4,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,2|7|10|6|12|13|5|4|15|3|1|9|16|14|8|11,34.27250671,-77.85849762,-1
R_2EcyUOdkFZDAj8U,Default Response Set,Anonymous,,,98.217.112.229,0,5/25/2016 15:30,5/25/2016 15:39,1,1,1,A1NLPINPHRIZIY,23,1,1,,,,1,,6,3,5,4,3,1,2,,7,7,5,7,8,4,8,4,4,3,7,3,4,1,3,5,2,7,7,7,7,1,1,1,1,7,7,7,7,2,3,2,3,3,2,1,1,3,2,3,3,1,1,,1,,Two students were able to subdue an armed attacker at the University of Tennessee. The attacker was able to shoot three students before he/she was subdued. All victims are stable. ,Local University Heroes Display Bravery in the Face of Danger,4,4,4,7,4,3,4,1,4,7,1,7,6,7,3,7,4,4,4,4,3,3,3,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,10|16|12|8|3|2|6|5|15|14|4|1|11|13|7|9,42.4427948,-71.23169708,-1
R_1rijptDLvV5ES09,Default Response Set,Anonymous,,,73.73.52.219,0,5/25/2016 15:30,5/25/2016 15:39,1,1,1,A23NOE8LDFM1AC,33,1,1,,,,,1,4,2,4,3,3,2,3,,5,6,5,2,6,7,7,8,4,2,6,6,2,3,3,2,2,7,7,6,6,2,2,1,2,7,7,7,7,3,2,2,1,2,2,2,1,3,2,2,3,1,1,,,1, Two college students had been planning a school shooting on their campus. Both the planned shooters seem to have been outcasts from social circles in their dorms and on campus. Both grew up in the same area and one is the son of an immigrant from Egypt. ,Son of Muslim Immigrant Plans Campus Shooting!!!!!!!!11111one,3,5,7,7,5,5,7,1,2,3,5,3,4,5,3,4,4,4,4,4,4,4,3,2,7,7,7,1,1,1,FL_109,,,low status,hypoformative|hypocat,5|13|16|2|7|6|14|9|3|11|4|8|1|10|15|12,42.40849304,-88.06340027,-1
R_1LAV2UT1CFSfUJo,Default Response Set,Anonymous,,,24.197.115.113,0,5/25/2016 15:30,5/25/2016 15:40,1,1,1,A1E2T84AUMW6ZC,57,2,1,1,,,,,6,3,6,1,2,2,3,,7,5,5,8,1,1,7,1,8,1,8,1,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,2,2,3,2,2,2,3,2,3,1,1,,1,,Two University of Tenn students stopped an attacker who was heavily armed. They were very brave and disarmed the shooter until Police arrived. They are heroes today,Brave friends divert a disaster at Univ of Tenn,7,7,7,7,7,7,7,1,4,7,1,7,7,7,3,7,4,3,4,4,3,4,3,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,3|5|9|11|7|4|10|6|14|15|12|13|8|16|2|1,35.72880554,-82.51380157,-1
R_3mn27ZaMR3RhWd0,Default Response Set,Anonymous,,,24.103.158.25,0,5/25/2016 15:29,5/25/2016 15:41,1,1,1,A21V7PUOSCP8PQ,43,2,1,1,,,,,7,3,9,4,5,2,3,,1,2,5,6,1,1,6,6,7,4,6,6,6,1,1,1,1,6,6,6,6,2,2,2,2,6,6,5,6,3,3,3,3,2,3,3,2,2,3,3,2,1,1,,1,,It was an article about two students who averted a school shooting by taking down the shooter,Student Heros Avert Deadly Shooting,5,5,7,7,7,7,7,1,6,6,1,7,6,6,3,6,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,3|15|9|10|12|6|11|5|2|4|1|14|8|13|7|16,43.21440125,-77.71250153,-1
R_qWa6TQABR6NXnrP,Default Response Set,Anonymous,,,73.44.33.47,0,5/25/2016 15:32,5/25/2016 15:41,1,1,1,A30IAM470FS5LV,44,2,1,1,,,,,6,3,8,1,2,2,3,,4,4,5,2,3,3,7,7,7,6,7,2,6,2,2,2,2,6,6,6,6,2,2,2,2,6,6,6,6,3,2,3,1,2,3,1,1,3,2,1,3,1,1,,,1,"Two students were planning a shooting at a university, because they felt like outcasts.  Another student heard them talking on the phone and called the police.  The police found a lot of guns and the students are arrested.  The families have no comment at this time.",University Shooting Prevented by Student,6,6,7,7,6,5,5,1,4,1,7,1,2,2,3,2,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypocat|hypoformative,12|10|13|3|1|7|16|2|9|8|11|14|5|4|6|15,41.47380066,-87.83769989,-1
R_4ZoAtUDONKyinbX,Default Response Set,Anonymous,,,66.229.209.47,0,5/25/2016 15:32,5/25/2016 15:41,1,1,1,A3NPEUMTD4PCJD,24,2,1,,,,,1,1,2,4,1,1,1,3,,7,7,5,3,7,8,6,7,8,3,7,1,4,1,1,1,1,7,7,7,7,1,7,1,1,7,7,7,7,1,3,2,3,3,2,1,1,2,2,2,3,1,1,,,1,Two Tennessee college students were arrested under a report of a possible shooting. The article goes on to say that they main suspect was bullied and didn't have friends and the other suspect was a follower.,"Two Tennessee college students arrested over shooting threat, was bullying to blame?",7,7,7,7,7,7,7,1,1,7,4,1,1,1,3,1,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,4|13|9|10|8|16|6|14|12|3|5|1|7|15|11|2,26.10009766,-80.27230072,-1
R_1C74SarvHzG4aJM,Default Response Set,Anonymous,,,140.254.70.166,0,5/25/2016 15:31,5/25/2016 15:42,1,1,1,A3MCSKH2SI0YIW,22,1,1,1,,,,,7,4,6,2,3,1,3,,2,3,5,2,2,2,3,8,8,7,7,2,7,1,1,1,1,7,7,7,1,1,1,1,1,7,7,7,7,3,3,3,3,2,3,2,1,2,2,2,2,1,2,1 year of journalism in high school,1,,A shooter at a high school injured three people before two brave students tackled him and avoided further injuries.,"Batman and Robin save the day: two local high schoolers tackle armed gunman, preventing casualties",6,7,7,7,5,5,4,1,6,6,2,6,6,6,3,6,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,11|2|15|6|9|16|12|13|8|4|7|10|14|3|5|1,39.98809814,-83.04440308,-1
R_3hyEcmYf0F72ea0,Default Response Set,Anonymous,,,131.228.197.46,0,5/25/2016 15:30,5/25/2016 15:42,1,1,1,A2R3GPJNLA2HQO,23,1,1,1,,,,,3,2,6,4,3,3,3,,1,1,5,6,6,2,6,4,7,4,7,3,8,2,2,4,1,5,7,5,6,3,2,2,3,5,5,6,5,3,2,2,1,1,1,3,1,2,3,2,2,1,1,,1,,An armed gunman attacked a college dorm building. He was quickly subdued by the quick thinking and actions of three students who took him down and ended the onslaught.,Lone gunman thwarted; three heroes risk everything to save lives.,5,5,7,6,5,5,6,1,6,6,3,6,7,7,3,6,4,4,4,4,3,3,4,2,7,7,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,6|8|14|11|4|15|12|5|9|7|2|16|1|10|3|13,37.75100708,-97.8219986,-1
R_3MGMbw5XK43aH7O,Default Response Set,Anonymous,,,199.168.239.219,0,5/25/2016 15:27,5/25/2016 15:42,1,1,1,A1GRN111GB7MPR,54,1,1,1,,,,,4,3,9,1,1,1,3,,3,2,5,3,1,1,8,6,8,1,8,2,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,2,3,1,1,1,2,1,3,1,1,,1,,"Two unarmed students  tackled a heavily armed attacker in school and prevented greta injury. Although three students were shot, they are stable.",Unarmed Students Bring Down Attacker,6,7,7,7,7,7,7,1,2,7,1,7,6,7,3,7,4,4,4,3,3,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,7|6|2|14|5|13|15|4|16|3|12|10|11|8|1|9,41.86320496,-87.61979675,-1
R_OHaGBx4h5LimmaZ,Default Response Set,Anonymous,,,173.161.192.85,0,5/25/2016 15:35,5/25/2016 15:42,1,1,1,A3PAMFWZCKO4XF,28,2,1,1,,,,,3,3,6,2,2,2,3,,5,2,7,6,2,2,7,3,7,2,7,3,7,2,3,5,1,6,5,6,4,3,3,4,3,6,5,6,4,2,3,2,2,3,2,1,2,2,3,2,2,1,1,,,1,"Two students, Zack Yusef and Dave Milner were arrested after a plot of theirs two plan an attack on their college was uncovered. Both Zack and Dave were loners who grew up in Nashville. Their parents are not commenting at this time. ",Two Students Arrested after planned campus attack uncovered,6,6,6,6,6,6,5,1,2,2,6,1,5,5,3,5,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_109,,,low status,hypoformative|hypocat,3|10|15|9|11|14|16|1|4|7|8|6|13|12|5|2,39.97790527,-75.12229919,-1
R_PLmfA4SORdXFJYd,Default Response Set,Anonymous,,,99.25.168.12,0,5/25/2016 15:29,5/25/2016 15:43,1,1,1,A1Y508DW5BHFJB,21,2,1,,,,,1,5,3,4,1,1,1,3,,2,2,5,7,2,7,7,3,8,1,3,6,4,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,1,3,2,2,1,3,1,1,3,1,1,,,1,"Two students of University of Tennessee began shooting firearms at school. / The students were known to be ridiculed and excluded, and have very few friends. / One student was said to be the ""mastermind"" behind the shooting attack.",Shooting Rampage at U of T: Bullied Students Violently Lash Out,4,2,5,5,5,5,2,1,1,2,7,1,1,2,3,3,4,4,4,4,4,4,4,2,7,6,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,14|2|5|13|12|10|7|1|6|15|9|4|3|8|11|16,41.94839478,-88.09470367,-1
R_BxouVN0gjD4HtJL,Default Response Set,Anonymous,,,24.179.44.152,0,5/25/2016 15:30,5/25/2016 15:43,1,1,1,A2GAN77CVHWV45,54,1,1,1,,,,,5,3,6,5,6,5,3,,4,2,5,7,3,2,3,2,7,6,7,4,6,1,4,4,1,4,2,7,4,6,2,2,7,6,4,7,2,2,3,1,2,2,1,2,1,3,2,2,2,1,1,,1,,Two University of TN students confronted and wrestled an active shooter who was on campus.  Three student's were shot before the suspect was reprehended but all three are in stable condition.  The students held the suspect until the police arrived.,Potentially deadly rampage thwarted by two students at the University of TN,4,7,5,6,7,4,4,1,4,6,1,6,6,6,3,6,3,3,3,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,12|14|13|11|10|8|6|1|4|16|7|9|5|3|2|15,33.64950562,-86.70880127,-1
R_12mc1sSb1aY8SPh,Default Response Set,Anonymous,,,129.174.53.28,0,5/25/2016 15:33,5/25/2016 15:43,1,1,1, A1CSVBVRIYL1ZZ,32,1,1,1,,,,,5,3,9,2,3,2,3,,2,3,5,2,6,6,6,7,6,6,7,2,7,1,2,3,2,6,2,5,4,1,2,2,5,5,5,6,5,2,3,3,2,2,2,1,1,3,2,1,3,1,1,,,1,"Two students from the University of Tennessee were arrested in suspicion of plotting a shooting attack on campus.  The two students, both from the Nashville area, were loners who spent time playing video games.  The police found evidence of the plot in their dorm room.",Vol Students Arrested in Foiled Attack Plot,3,4,4,2,4,3,4,1,2,2,4,3,2,6,3,4,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_58,low status,hypocat|hypoformative,,,14|2|10|5|9|6|13|11|1|8|4|16|12|7|15|3,38.83569336,-77.33750153,-1
R_bHJLnreXft6zOHT,Default Response Set,Anonymous,,,70.183.204.69,0,5/25/2016 15:34,5/25/2016 15:44,1,1,1,A3GHK21QETWLZJ,29,2,1,1,,,,,5,3,5,4,4,4,3,,3,3,5,6,1,6,7,7,7,1,7,6,6,5,5,5,5,5,5,4,5,4,5,3,3,5,4,5,5,2,3,3,2,3,2,2,1,3,2,2,2,1,1,,1,,Two students stop a school shooter by tackling and disarming him. Yusef has a background in wresting and martial arts.,Students hailed as heroes for disarming school shooter.,6,7,7,7,7,7,7,1,6,6,1,7,7,7,3,7,3,3,3,4,2,4,2,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,12|8|1|3|10|4|14|9|5|16|11|7|2|6|15|13,30.21429443,-90.94020081,-1
