V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q44,Q60_1,Q60_2,Q60_3,Q60_4,Q45,Q59_1,Q59_2,Q59_3,Q59_4,summary,headline,writing,include1,include2,include3,include4,include5,include6,pagenum,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_53,DO-BR-FL_125,DO-BR-FL_115,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_a8EbNKKYP994aFH,Default Response Set,Anonymous,,,165.124.144.151,0,5/3/2016 13:57,5/3/2016 14:34,1,1,1,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,3,,,,,,,,2,,,,1,,1,FL_109,,,high status,,6|4|7|10|3|8|5|11|9|16|13|14|12|1|2|15,42.05859375,-87.68450165,-1
R_3P6299DltOnPS0Y,Default Response Set,Anonymous,,,,1,5/3/2016 15:31,5/3/2016 15:39,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,FL_109,,,high status,,7|11|14|8|12|13|4|2|10|16|6|9|1|3|5|15,42.05859375,-87.68450165,-1
R_tSuE4Olz0YyvGuZ,Default Response Set,Anonymous,,,165.124.145.250,0,5/3/2016 13:51,5/3/2016 14:29,0,1,1,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_58,,,,,,,,-1
R_2RNRHI06GjC27YD,Default Response Set,Anonymous,,,165.124.144.151,0,5/3/2016 14:35,5/3/2016 14:35,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_109,,,low Status,,,,,-1
R_2ceJon2RnOVxm8o,Default Response Set,Anonymous,,,165.124.144.151,0,5/3/2016 14:35,5/3/2016 14:39,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_58,low Status,,,,14|6|10|16|2|12|15|11|1|3|5|9|4|8|13|7,,,-1
R_5nYHjS7Bpy11iiB,Default Response Set,Anonymous,,,165.124.144.151,0,5/3/2016 14:34,5/3/2016 16:10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,FL_58,high status,,,,15|3|11|2|13|4|8|14|16|5|1|7|6|12|9|10,,,-1
R_2qrwrll87OWB8Fs,Default Response Set,Anonymous,,,12.185.249.138,0,5/20/2016 16:33,5/20/2016 16:43,1,1,1,A3I40B0FATY8VH,23,1,1,1,,,,,4,3,4,4,6,6,3,,2,2,5,4,2,4,7,8,7,4,7,1,7,4,6,5,5,4,4,3,4,6,6,6,6,3,2,3,2,2,3,3,2,3,3,3,1,2,3,3,3,1,1,,,,,,,1,0,0,93.708,0,A young man from Los Angeles was prosecuted for forging pieces of art; he was an educated person with decent talent yet decided to steal other people's work. He faces 10 years in prison.,American Art Forger,4,5,6,3,3,3,4,3,1,2,1,7,1,1,2,3,2,1,1,1,3,3,2,2,1,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,16|11|10|12|2|8|9|3|4|14|13|6|5|1|7|15,32.91870117,-96.1140976,-1
R_12G8SE6r4LSlL2u,Default Response Set,Anonymous,,,138.26.156.34,0,5/20/2016 16:32,5/20/2016 16:44,1,1,1,A3HY8S1G1AT8QB,26,1,1,1,,,,,4,3,9,5,5,3,3,,3,2,5,6,2,2,7,6,6,3,6,2,7,1,2,2,1,5,4,5,5,3,3,3,3,4,5,4,4,3,3,3,2,3,2,2,1,3,2,1,2,1,1,,1,0,0,75.071,0,,,,,,"A young artist, who was born in L.A. before moving to Portland with his biological father after his mother died, has returned to showcase his gritty, provocative art at the Hive this weekend.",Young LA artist returns to the Hive with provocative new art showcase,4,4,5,5,3,5,4,Arts and Leisure,1,3,5,2,5,5,6,3,7,3,3,3,3,2,3,3,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,10|3|5|9|11|2|14|8|1|12|13|16|15|4|7|6,33.54460144,-86.92919922,-1
R_1NFDtbRdH1ALiuh,Default Response Set,Anonymous,,,69.225.129.152,0,5/20/2016 16:34,5/20/2016 16:44,1,1,1,A3DA9VCFVY24TR,54,2,1,,1,,,,3,3,9,1,1,1,3,,4,4,5,1,4,6,4,6,4,3,6,3,4,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,2,2,2,2,2,1,1,3,1,1,3,1,1,,,,,,,1,26.996,36.85,36.908,2,An art forger was arrested. He will face 10 years in prison. He tried to succeed on his own as an artist but failed and turned to forgery instead.,Art Forger Arrested,6,6,5,3,3,5,4,Art section,1,3,2,5,3,5,3,3,4,4,3,4,4,3,3,4,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,16|9|7|6|12|14|11|1|13|5|15|10|8|4|2|3,34.07640076,-118.2626038,-1
R_ZgUwTMDjyhwR7wZ,Default Response Set,Anonymous,,,67.197.77.204,0,5/20/2016 16:29,5/20/2016 16:48,1,1,1,ALOX6TS3BTQ7W,26,1,1,1,,,,,4,2,5,3,4,4,3,,2,2,5,2,7,6,8,7,6,2,3,2,3,1,1,1,5,7,7,7,7,1,1,1,2,7,7,6,7,1,2,3,2,1,3,1,1,2,2,1,3,1,1,,1,2.02,74.92,93.701,7,,,,,,"27 year old Jordan Sullivan has an exhibit opening at the Hive Gallery in L.A. Sullivan comes from an impoverished urban background, from which he has grown into a well respected artist and UCLA graduate.",Standing Out From the Rest of the Hive: Sullivan's New Exhibit,4,6,5,4,4,6,4,Local page 1,1,5,6,1,6,7,7,3,7,2,2,2,3,2,2,2,2,7,7,7,1,1,1,FL_58,high status,hypoformative|hypocat,,,8|16|4|1|5|15|11|3|2|7|13|14|9|6|10|12,34.96600342,-81.08070374,-1
R_RfrA0dEci9fD2G5,Default Response Set,Anonymous,,,67.187.65.41,0,5/20/2016 16:29,5/20/2016 16:50,1,1,1,A33PDF03E6TRU0,30,2,1,,1,,,,4,2,6,3,5,3,3,,4,5,5,1,2,2,4,8,6,6,7,2,8,3,3,2,1,7,7,6,7,1,1,1,1,7,7,7,7,2,1,3,1,1,3,1,1,3,1,1,3,1,1,,,,,,,1,0,0,56.835,0,"It was about a man from LA who grew up in poor conditions and lost his mother at a young age. He went to school for art and created art pieces that weren't well received, so he started to forge other people's work. He pocketed thousands from art galleries and will face up to 10 years in prison.",Struggling artist forges art for success,6,7,5,4,5,4,5,12,1,2,2,6,1,5,3,3,2,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,15|7|12|9|6|8|2|3|10|16|4|13|14|5|11|1,36.64079285,-87.47180176,-1
